epoch,ESR,loss,val_ESR,val_loss
0,0.749076188,0.835189104,0.565187335,0.707551301
1,0.484657556,0.645185888,0.381643772,0.532336354
2,0.327726662,0.439145088,0.283230364,0.37020883
3,0.279213548,0.362245411,0.265606582,0.339980841
4,0.261758506,0.338786423,0.243829846,0.318626165
5,0.250961721,0.32579729,0.238330856,0.310282737
6,0.241435573,0.31582889,0.227511406,0.300579637
7,0.23596932,0.310287684,0.228177205,0.300907254
8,0.230720997,0.305285394,0.225241691,0.295387834
9,0.228017747,0.302032083,0.223109469,0.291959256
